layer,q_head,chosen,best_l2
0,0,DENSE(no_dump),nan
0,1,DENSE(no_dump),nan
0,2,DENSE(no_dump),nan
0,3,DENSE(no_dump),nan
0,4,DENSE(no_dump),nan
0,5,DENSE(no_dump),nan
0,6,DENSE(no_dump),nan
0,7,DENSE(no_dump),nan
0,8,DENSE(no_dump),nan
0,9,DENSE(no_dump),nan
0,10,DENSE(no_dump),nan
0,11,DENSE(no_dump),nan
0,12,DENSE(no_dump),nan
0,13,DENSE(no_dump),nan
0,14,DENSE(no_dump),nan
0,15,DENSE(no_dump),nan
1,0,DENSE(no_dump),nan
1,1,DENSE(no_dump),nan
1,2,DENSE(no_dump),nan
1,3,DENSE(no_dump),nan
1,4,DENSE(no_dump),nan
1,5,DENSE(no_dump),nan
1,6,DENSE(no_dump),nan
1,7,DENSE(no_dump),nan
1,8,DENSE(no_dump),nan
1,9,DENSE(no_dump),nan
1,10,DENSE(no_dump),nan
1,11,DENSE(no_dump),nan
1,12,DENSE(no_dump),nan
1,13,DENSE(no_dump),nan
1,14,DENSE(no_dump),nan
1,15,DENSE(no_dump),nan
2,0,DENSE(no_dump),nan
2,1,DENSE(no_dump),nan
2,2,DENSE(no_dump),nan
2,3,DENSE(no_dump),nan
2,4,DENSE(no_dump),nan
2,5,DENSE(no_dump),nan
2,6,DENSE(no_dump),nan
2,7,DENSE(no_dump),nan
2,8,DENSE(no_dump),nan
2,9,DENSE(no_dump),nan
2,10,DENSE(no_dump),nan
2,11,DENSE(no_dump),nan
2,12,DENSE(no_dump),nan
2,13,DENSE(no_dump),nan
2,14,DENSE(no_dump),nan
2,15,DENSE(no_dump),nan
3,0,A_SHAPE@s64w512,0.0096
3,1,A_SHAPE@s64w512,0.0395
3,2,A_SHAPE@s64w512,0.0233
3,3,A_SHAPE@s64w512,0.0226
3,4,A_SHAPE@s64w512,0.0421
3,5,A_SHAPE@s64w512,0.0267
3,6,A_SHAPE@s64w512,0.0431
3,7,A_SHAPE@s64w512,0.0278
3,8,A_SHAPE@s64w512,0.0236
3,9,A_SHAPE@s64w512,0.0353
3,10,A_SHAPE@s64w512,0.0095
3,11,A_SHAPE@s64w512,0.0360
3,12,A_SHAPE@s64w512,0.0172
3,13,A_SHAPE@s64w512,0.0176
3,14,A_SHAPE@s64w512,0.0180
3,15,A_SHAPE@s64w512,0.0145
4,0,DENSE(no_dump),nan
4,1,DENSE(no_dump),nan
4,2,DENSE(no_dump),nan
4,3,DENSE(no_dump),nan
4,4,DENSE(no_dump),nan
4,5,DENSE(no_dump),nan
4,6,DENSE(no_dump),nan
4,7,DENSE(no_dump),nan
4,8,DENSE(no_dump),nan
4,9,DENSE(no_dump),nan
4,10,DENSE(no_dump),nan
4,11,DENSE(no_dump),nan
4,12,DENSE(no_dump),nan
4,13,DENSE(no_dump),nan
4,14,DENSE(no_dump),nan
4,15,DENSE(no_dump),nan
5,0,DENSE(no_dump),nan
5,1,DENSE(no_dump),nan
5,2,DENSE(no_dump),nan
5,3,DENSE(no_dump),nan
5,4,DENSE(no_dump),nan
5,5,DENSE(no_dump),nan
5,6,DENSE(no_dump),nan
5,7,DENSE(no_dump),nan
5,8,DENSE(no_dump),nan
5,9,DENSE(no_dump),nan
5,10,DENSE(no_dump),nan
5,11,DENSE(no_dump),nan
5,12,DENSE(no_dump),nan
5,13,DENSE(no_dump),nan
5,14,DENSE(no_dump),nan
5,15,DENSE(no_dump),nan
6,0,DENSE(no_dump),nan
6,1,DENSE(no_dump),nan
6,2,DENSE(no_dump),nan
6,3,DENSE(no_dump),nan
6,4,DENSE(no_dump),nan
6,5,DENSE(no_dump),nan
6,6,DENSE(no_dump),nan
6,7,DENSE(no_dump),nan
6,8,DENSE(no_dump),nan
6,9,DENSE(no_dump),nan
6,10,DENSE(no_dump),nan
6,11,DENSE(no_dump),nan
6,12,DENSE(no_dump),nan
6,13,DENSE(no_dump),nan
6,14,DENSE(no_dump),nan
6,15,DENSE(no_dump),nan
7,0,A_SHAPE@s64w512,0.0493
7,1,A_SHAPE@s64w512,0.0240
7,2,A_SHAPE@s64w512,0.0631
7,3,A_SHAPE@s64w1024,0.0372
7,4,A_SHAPE@s64w512,0.0625
7,5,A_SHAPE@s64w512,0.0670
7,6,A_SHAPE@s64w512,0.0662
7,7,A_SHAPE@s64w512,0.0330
7,8,A_SHAPE@s64w512,0.0673
7,9,A_SHAPE@s64w512,0.0486
7,10,A_SHAPE@s64w512,0.0477
7,11,A_SHAPE@s64w512,0.0344
7,12,A_SHAPE@s64w512,0.0988
7,13,BLOCK_SPARSE@0.050,0.0937
7,14,A_SHAPE@s64w1024,0.0578
7,15,BLOCK_SPARSE@0.050,0.0912
8,0,DENSE(no_dump),nan
8,1,DENSE(no_dump),nan
8,2,DENSE(no_dump),nan
8,3,DENSE(no_dump),nan
8,4,DENSE(no_dump),nan
8,5,DENSE(no_dump),nan
8,6,DENSE(no_dump),nan
8,7,DENSE(no_dump),nan
8,8,DENSE(no_dump),nan
8,9,DENSE(no_dump),nan
8,10,DENSE(no_dump),nan
8,11,DENSE(no_dump),nan
8,12,DENSE(no_dump),nan
8,13,DENSE(no_dump),nan
8,14,DENSE(no_dump),nan
8,15,DENSE(no_dump),nan
9,0,DENSE(no_dump),nan
9,1,DENSE(no_dump),nan
9,2,DENSE(no_dump),nan
9,3,DENSE(no_dump),nan
9,4,DENSE(no_dump),nan
9,5,DENSE(no_dump),nan
9,6,DENSE(no_dump),nan
9,7,DENSE(no_dump),nan
9,8,DENSE(no_dump),nan
9,9,DENSE(no_dump),nan
9,10,DENSE(no_dump),nan
9,11,DENSE(no_dump),nan
9,12,DENSE(no_dump),nan
9,13,DENSE(no_dump),nan
9,14,DENSE(no_dump),nan
9,15,DENSE(no_dump),nan
10,0,DENSE(no_dump),nan
10,1,DENSE(no_dump),nan
10,2,DENSE(no_dump),nan
10,3,DENSE(no_dump),nan
10,4,DENSE(no_dump),nan
10,5,DENSE(no_dump),nan
10,6,DENSE(no_dump),nan
10,7,DENSE(no_dump),nan
10,8,DENSE(no_dump),nan
10,9,DENSE(no_dump),nan
10,10,DENSE(no_dump),nan
10,11,DENSE(no_dump),nan
10,12,DENSE(no_dump),nan
10,13,DENSE(no_dump),nan
10,14,DENSE(no_dump),nan
10,15,DENSE(no_dump),nan
11,0,BLOCK_SPARSE@0.400,0.0914
11,1,BLOCK_SPARSE@0.400,0.0807
11,2,DENSE(best_was BLOCK_SPARSE@0.400),0.10971517115831375
11,3,A_SHAPE@s64w1024,0.0964
11,4,BLOCK_SPARSE@0.400,0.0801
11,5,DENSE(best_was BLOCK_SPARSE@0.400),0.1024681106209755
11,6,BLOCK_SPARSE@0.400,0.0982
11,7,BLOCK_SPARSE@0.400,0.0951
11,8,BLOCK_SPARSE@0.400,0.0841
11,9,A_SHAPE@s64w1024,0.0929
11,10,A_SHAPE@s64w1024,0.0848
11,11,A_SHAPE@s64w1024,0.0956
11,12,BLOCK_SPARSE@0.400,0.0900
11,13,DENSE(best_was BLOCK_SPARSE@0.400),0.10296320170164108
11,14,DENSE(best_was BLOCK_SPARSE@0.400),0.11793363094329834
11,15,DENSE(best_was BLOCK_SPARSE@0.400),0.10091284662485123
12,0,DENSE(no_dump),nan
12,1,DENSE(no_dump),nan
12,2,DENSE(no_dump),nan
